# index Name dist e_dist inc e_inc L36 MHI type Reff
0 CamB 3.36000 0.26000 65.00000 5.00000 0.07500 0.01200 10 1.21000
1 D512-2 15.20000 4.56000 56.00000 10.00000 0.32500 0.08100 10 2.37000
2 D564-8 8.79000 0.28000 63.00000 7.00000 0.03300 0.02900 10 0.72000
3 D631-7 7.72000 0.18000 59.00000 3.00000 0.19600 0.29000 10 1.22000
4 DDO064 6.80000 2.04000 60.00000 5.00000 0.15700 0.21100 10 1.20000
5 DDO154 4.04000 0.20000 64.00000 3.00000 0.05300 0.27500 10 0.65000
6 DDO161 7.50000 2.25000 70.00000 10.00000 0.54800 1.37800 10 2.04000
7 DDO168 4.25000 0.21000 63.00000 6.00000 0.19100 0.41300 10 1.29000
8 DDO170 15.40000 4.62000 66.00000 7.00000 0.54300 0.73500 10 3.03000
9 ESO079-G014 28.70000 7.17000 79.00000 5.00000 51.73300 3.14000 4 7.23000
10 ESO116-G012 13.00000 3.90000 74.00000 3.00000 4.29200 1.08300 7 2.75000
11 ESO444-G084 4.83000 0.48000 32.00000 6.00000 0.07100 0.13500 10 0.75000
12 ESO563-G021 60.80000 9.10000 83.00000 3.00000 311.17700 24.29800 4 10.59000
13 F565-V2 51.80000 10.40000 60.00000 10.00000 0.55900 0.69900 10 3.57000
14 F568-3 82.40000 8.24000 40.00000 10.00000 8.34600 3.19500 7 7.47000
15 F568-V1 80.60000 8.06000 40.00000 10.00000 3.82500 2.49100 7 4.40000
16 F571-8 53.30000 10.70000 85.00000 5.00000 10.16400 1.78200 5 1.40000
17 F571-V1 80.10000 8.00000 30.00000 10.00000 1.84900 1.21700 7 4.38000
18 F574-1 96.80000 9.68000 65.00000 10.00000 6.53700 3.52400 7 5.87000
19 F583-1 35.40000 8.85000 63.00000 5.00000 0.98600 2.12600 9 3.74000
20 F583-4 53.30000 10.70000 55.00000 10.00000 1.71500 0.64100 5 3.31000
21 IC2574 3.91000 0.20000 75.00000 7.00000 1.01600 1.03600 9 3.18000
22 IC4202 100.40000 10.00000 90.00000 1.00000 179.74900 12.32600 4 8.55000
23 KK98-251 6.80000 2.04000 59.00000 5.00000 0.08500 0.11500 10 1.28000
24 NGC0024 7.30000 0.36000 64.00000 3.00000 3.88900 0.67600 5 2.01000
25 NGC0055 2.11000 0.11000 77.00000 3.00000 4.62800 1.56500 9 3.67000
26 NGC0100 13.50000 4.05000 89.00000 1.00000 3.23200 1.99000 6 2.81000
27 NGC0247 3.70000 0.19000 74.00000 3.00000 7.33200 1.74600 7 5.87000
28 NGC0289 20.80000 5.20000 46.00000 5.00000 72.06500 27.46900 4 2.69000
29 NGC0300 2.08000 0.10000 42.00000 10.00000 2.92200 0.93600 7 1.77000
30 NGC0801 80.70000 8.07000 80.00000 1.00000 312.57000 23.20100 5 7.76000
31 NGC0891 9.91000 0.50000 90.00000 1.00000 138.34000 4.46200 3 3.68000
32 NGC1003 11.40000 3.42000 67.00000 5.00000 6.82000 5.88000 6 2.76000
33 NGC1090 37.00000 9.25000 64.00000 3.00000 72.04500 8.78300 4 6.36000
34 NGC2403 3.16000 0.16000 63.00000 3.00000 10.04100 3.19900 6 2.16000
35 NGC2683 9.81000 0.49000 80.00000 5.00000 80.41500 1.40600 3 3.34000
36 NGC2841 14.10000 1.40000 76.00000 10.00000 188.12100 9.77500 3 5.51000
37 NGC2903 6.60000 1.98000 66.00000 3.00000 81.86300 2.55200 4 4.54000
38 NGC2915 4.06000 0.20000 56.00000 4.00000 0.64100 0.50800 11 0.53000
39 NGC2955 97.90000 9.80000 56.00000 7.00000 319.42200 28.94900 3 7.22000
40 NGC2976 3.58000 0.18000 61.00000 10.00000 3.37100 0.17200 5 1.31000
41 NGC2998 68.10000 10.20000 58.00000 2.00000 150.90200 23.45100 5 7.06000
42 NGC3109 1.33000 0.07000 70.00000 5.00000 0.19400 0.47700 9 1.64000
43 NGC3198 13.80000 1.40000 73.00000 3.00000 38.27900 10.86900 5 5.84000
44 NGC3521 7.70000 2.30000 75.00000 5.00000 84.83600 4.15400 4 2.45000
45 NGC3726 18.00000 2.50000 53.00000 2.00000 70.23400 6.47300 5 7.52000
46 NGC3741 3.21000 0.17000 70.00000 4.00000 0.02800 0.18200 10 0.32000
47 NGC3769 18.00000 2.50000 70.00000 2.00000 18.67900 5.52900 3 2.18000
