# Name log10(gN_ext [km/s^2]) log10(g_ext [km/s^2]) errlow_log10(g_ext [km/s^2]) errhigh_log10(g_ext [km/s^2])
CamB -17.047 -14.434 0.033 0.067
D512-2 -16.871 -14.236 0.055 0.059
D564-8 -17.027 -14.406 0.047 0.069
D631-7 -17.075 -14.466 0.021 0.077
DDO064 -17.010 -14.428 0.015 0.075
DDO154 -16.999 -14.361 0.048 0.078
DDO161 -16.972 -14.296 0.053 0.101
DDO168 -17.010 -14.371 0.048 0.069
DDO170 -16.788 -14.175 0.040 0.065
ESO079-G014 -17.187 -14.509 0.062 0.063
ESO116-G012 -17.140 -14.505 0.062 0.038
ESO444-G084 -17.000 -14.329 0.058 0.101
ESO563-G021 -17.031 -14.401 0.052 0.166
F561-1 -17.108 -14.748 0.037 0.102
F563-1 -17.185 -14.547 0.071 0.058
F563-V1 -17.234 -14.608 0.078 0.075
F563-V2 -17.370 -14.684 0.122 0.117
F565-V2 -17.178 -14.541 0.017 0.066
F567-2 -17.217 -14.622 0.077 0.048
F568-1 -17.210 -14.576 0.073 0.027
F568-3 -17.241 -14.660 0.049 0.069
F568-V1 -17.323 -14.669 0.049 0.069
F571-8 -16.905 -14.448 0.052 0.071
F571-V1 -17.350 -14.653 0.047 0.058
F574-1 -17.448 -14.684 0.120 0.025
F574-2 -17.821 -15.008 0.387 0.190
F579-V1 -17.076 -14.514 0.055 0.063
F583-1 -17.023 -14.408 0.058 0.064
F583-4 -17.161 -14.502 0.068 0.002
IC2574 -16.278 -14.459 0.045 0.068
IC4202 -17.046 -14.419 0.113 0.084
KK98251 -17.053 -14.428 0.018 0.072
NGC0024 -17.155 -14.478 0.057 0.052
NGC0055 -17.117 -14.454 0.031 0.108
NGC0100 -17.151 -14.584 0.041 0.050
NGC0247 -17.140 -14.465 0.031 0.078
NGC0289 -16.979 -14.485 0.064 0.005
NGC0300 -17.120 -14.456 0.037 0.102
NGC0801 -16.653 -14.330 0.084 0.149
NGC0891 -17.128 -14.516 0.054 0.044
NGC1003 -17.148 -14.543 0.059 0.028
NGC1090 -16.899 -14.812 0.092 0.092
NGC1705 -17.181 -14.449 0.081 0.075
NGC2366 -16.994 -14.428 0.035 0.083
NGC2403 -17.026 -14.412 0.074 0.065
NGC2683 -16.908 -14.399 0.060 0.071
NGC2841 -16.966 -14.380 0.035 0.033
NGC2903 -17.028 -14.428 0.040 0.121
NGC2915 -17.097 -14.406 0.045 0.127
NGC2955 -17.107 -14.771 0.088 0.118
NGC2976 -16.762 -14.405 0.074 0.065
NGC2998 -15.980 -14.493 0.114 0.089
NGC3109 -17.085 -14.435 0.045 0.108
NGC3198 -16.909 -14.349 0.055 0.063
NGC3521 -16.998 -14.370 0.052 0.083
NGC3726 -16.855 -14.348 0.046 0.069
NGC3741 -17.061 -14.409 0.040 0.079
NGC3769 -16.834 -14.355 0.041 0.069
NGC3877 -16.835 -14.340 0.059 0.063
NGC3893 -16.802 -14.329 0.068 0.048
NGC3917 -16.212 -14.309 0.052 0.055
NGC3949 -16.837 -14.354 0.041 0.074
NGC3953 -16.053 -14.212 0.107 0.064
NGC3972 -16.512 -14.263 0.074 0.067
NGC3992 -17.024 -14.376 0.056 0.064
NGC4010 -16.849 -14.329 0.056 0.068
NGC4013 -16.811 -14.286 0.067 0.037
NGC4051 -16.821 -14.269 0.061 0.014
NGC4068 -17.041 -14.370 0.068 0.043
NGC4085 -16.550 -14.302 0.041 0.064
NGC4088 -16.628 -14.293 0.039 0.046
NGC4100 -16.063 -14.368 0.059 0.079
NGC4138 -16.777 -14.268 0.071 0.059
NGC4157 -16.551 -14.265 0.061 0.041
NGC4183 -16.778 -14.290 0.035 0.075
NGC4214 -17.039 -14.381 0.063 0.075
NGC4217 -16.378 -14.276 0.019 0.058
NGC4389 -16.746 -14.278 0.039 0.061
NGC4559 -16.899 -14.287 0.072 0.055
NGC5005 -15.192 -13.990 0.086 0.280
NGC5033 -14.800 -13.839 0.190 0.172
NGC5055 -14.843 -13.958 0.122 0.307
NGC5371 -16.122 -14.274 0.067 0.229
NGC5585 -16.876 -14.325 0.031 0.055
NGC5907 -16.952 -14.330 0.048 0.032
NGC5985 -17.036 -14.516 0.009 0.077
NGC6015 -16.983 -14.393 0.007 0.046
NGC6195 -16.721 -14.189 0.062 0.097
NGC6503 -16.996 -14.390 0.024 0.069
NGC6674 -17.264 -14.903 0.009 0.118
NGC6789 -17.037 -14.383 0.046 0.055
NGC6946 -17.053 -14.401 0.031 0.049
NGC7331 -17.113 -14.554 0.042 0.062
NGC7793 -17.137 -14.456 0.032 0.082
NGC7814 -17.163 -14.554 0.064 0.017
PGC51017 -16.862 -14.268 0.027 0.050
UGC00128 -16.991 -14.429 0.081 0.009
UGC00191 -17.188 -14.616 0.052 0.062
UGC00634 -17.068 -14.643 0.110 0.079
UGC00731 -17.129 -14.538 0.049 0.046
UGC00891 -17.150 -14.530 0.054 0.031
UGC01230 -17.293 -14.503 0.089 0.049
UGC01281 -17.089 -14.443 0.039 0.054
UGC02023 -17.158 -14.538 0.058 0.035
UGC02259 -17.144 -14.570 0.030 0.072
UGC02455 -17.156 -14.528 0.020 0.082
UGC02487 -16.650 -14.243 0.000 0.095
UGC02885 -15.979 -14.332 0.107 0.589
UGC02916 -16.768 -14.291 0.054 0.059
UGC02953 -16.574 -14.508 0.060 0.019
UGC03205 -16.435 -14.642 0.106 0.111
UGC03546 -17.128 -14.684 0.088 0.059
UGC03580 -17.086 -14.549 0.050 0.052
UGC04278 -17.005 -14.426 0.035 0.054
UGC04305 -16.914 -14.423 0.033 0.087
UGC04325 -17.008 -14.411 0.056 0.061
UGC04483 -16.950 -14.402 0.069 0.073
UGC04499 -16.776 -14.376 0.059 0.063
UGC05005 -17.195 -14.523 0.075 0.027
UGC05253 -17.030 -14.458 0.066 0.044
UGC05414 -16.983 -14.390 0.043 0.062
UGC05716 -16.886 -14.280 0.064 0.047
UGC05721 -16.998 -14.409 0.022 0.081
UGC05750 -17.185 -14.533 0.070 0.060
UGC05764 -16.980 -14.413 0.032 0.118
UGC05829 -16.966 -14.400 0.037 0.109
UGC05918 -16.950 -14.355 0.060 0.055
UGC05986 -16.960 -14.387 0.035 0.080
UGC05999 -17.128 -14.420 0.064 0.007
UGC06399 -16.794 -14.343 0.058 0.044
UGC06446 -16.949 -14.346 0.066 0.053
UGC06614 -17.286 -14.607 0.064 0.076
UGC06628 -16.895 -14.359 0.054 0.043
UGC06667 -16.553 -14.350 0.044 0.071
UGC06786 -16.861 -14.226 0.062 0.068
UGC06787 -16.945 -14.342 0.061 0.020
UGC06818 -16.856 -14.313 0.074 0.057
UGC06917 -16.713 -14.313 0.070 0.016
UGC06923 -16.231 -14.236 0.077 0.054
