# Name log(eN_noclustering)_mean log(eN_noclustering)_err log(eN_maxclustering)_mean log(eN_maxclustering)_err
D512-2 -2.245104 0.260629 -3.155396 0.284972
D564-8 -2.282513 0.241639 -3.178495 0.271444
DDO064 -2.257177 0.299120 -3.162033 0.316825
DDO154 -2.165645 0.344176 -3.052348 0.382989
DDO168 -2.194420 0.287091 -3.081246 0.319288
DDO170 -1.914944 0.385193 -2.824995 0.407143
F563-1 -2.627732 0.126778 -3.529944 0.137966
F563-V1 -2.584709 0.139330 -3.482840 0.125639
F563-V2 -2.598493 0.110098 -3.492076 0.115045
F565-V2 -2.620078 0.123826 -3.532741 0.125997
F567-2 -2.504985 0.130930 -3.412056 0.128555
F568-1 -2.440422 0.133735 -3.355205 0.128145
F568-3 -2.458593 0.128055 -3.368075 0.128993
F568-V1 -2.379514 0.195634 -3.288902 0.211045
F571-8 -2.426505 0.240492 -3.366310 0.258676
F571-V1 -2.117531 0.339804 -3.045359 0.340005
F574-1 -2.217332 0.304196 -3.168624 0.335745
F574-2 -2.282367 0.417274 -3.209175 0.440633
F579-V1 -2.629517 0.206868 -3.541660 0.218416
IC4202 -1.942248 0.437665 -2.857992 0.479410
NGC0100 -2.667139 0.220955 -3.560861 0.268018
NGC2683 -2.362163 0.251891 -3.206743 0.381006
NGC2841 -2.394818 0.365895 -3.288446 0.483445
NGC2903 -2.300013 0.243121 -3.208385 0.257313
NGC2955 -2.520288 0.217198 -3.424725 0.343676
NGC2998 -2.541953 0.222219 -3.451295 0.258330
NGC3198 -2.335378 0.316868 -3.248185 0.376106
NGC3726 -2.241625 0.340149 -3.158545 0.368867
NGC3741 -2.306863 0.324014 -3.195416 0.346752
NGC3769 -2.322008 0.278653 -3.252325 0.311219
NGC3877 -2.331406 0.319426 -3.265593 0.309387
NGC3893 -2.343574 0.304369 -3.272365 0.315522
NGC3917 -2.395938 0.280982 -3.325255 0.318021
NGC3949 -2.320222 0.323714 -3.256197 0.330656
NGC3953 -2.382044 0.303553 -3.305777 0.322662
NGC3972 -2.332623 0.321141 -3.267945 0.316057
NGC3992 -2.539859 0.191688 -3.478897 0.208861
NGC4010 -2.307090 0.341802 -3.242129 0.318119
NGC4013 -2.214539 0.274033 -3.141750 0.290243
NGC4051 -2.270704 0.287584 -3.195768 0.346398
NGC4068 -2.271587 0.314816 -3.157326 0.355953
NGC4085 -2.252871 0.352775 -3.196190 0.347895
NGC4088 -2.235472 0.351444 -3.174799 0.352541
NGC4100 -2.382042 0.337396 -3.321690 0.344392
NGC4138 -2.278103 0.335961 -3.217669 0.313485
NGC4157 -2.265558 0.340680 -3.206567 0.286369
NGC4183 -2.280350 0.302010 -3.217375 0.323872
NGC4214 -2.263093 0.340218 -3.149061 0.364739
NGC4217 -2.285129 0.261933 -3.212594 0.277572
NGC4389 -2.315940 0.288427 -3.243128 0.305701
NGC4559 -2.035922 0.445268 -2.937818 0.473624
NGC5005 -2.132272 0.334318 -3.032322 0.404460
NGC5033 -2.381157 0.272153 -3.324153 0.277078
NGC5055 -2.155340 0.314434 -3.064436 0.339043
NGC5371 -2.268390 0.249039 -3.191083 0.263028
NGC5585 -2.264160 0.268976 -3.149325 0.290312
NGC5907 -2.394611 0.192931 -3.322226 0.202869
NGC7814 -2.669979 0.306644 -3.559641 0.408481
PGC51017 -2.261103 0.258742 -3.171820 0.270216
UGC00191 -2.713131 0.201203 -3.620141 0.232933
UGC00634 -2.713825 0.198901 -3.623375 0.249151
UGC00891 -2.589574 0.201122 -3.486931 0.216988
UGC04499 -2.470148 0.265464 -3.391078 0.279925
UGC05005 -2.619125 0.141244 -3.521750 0.141710
UGC05414 -2.277393 0.287380 -3.186980 0.306971
UGC05716 -2.378472 0.235142 -3.303108 0.252410
UGC05721 -2.125624 0.303785 -3.030400 0.346762
UGC05750 -2.560572 0.163490 -3.468204 0.169281
UGC05764 -2.231545 0.261300 -3.149078 0.286279
UGC05829 -2.189380 0.323551 -3.090600 0.343648
UGC05986 -2.162616 0.348228 -3.087284 0.342387
UGC05999 -2.600768 0.159551 -3.511770 0.184051
UGC06399 -2.412451 0.232512 -3.336729 0.262659
UGC06446 -2.394169 0.239693 -3.326650 0.264907
UGC06614 -2.011199 0.425645 -2.953954 0.432744
UGC06628 -2.291244 0.323823 -3.217002 0.313224
UGC06667 -2.321912 0.286392 -3.248323 0.290209
UGC06786 -2.648948 0.165242 -3.586603 0.181158
UGC06787 -2.415682 0.336960 -3.352564 0.373525
UGC06818 -2.288553 0.282359 -3.209313 0.299284
UGC06917 -2.363689 0.275524 -3.300470 0.287542
